Semana;Treino;Arquivo;Descrição
1;A;MUS_01A.json;BASE • Peito, Ombro e Tríceps
1;B;MUS_01B.json;BASE • Membros Inferiores
1;C;MUS_01C.json;BASE • Costas e Bíceps
1;D;MUS_01D.json;BASE • HIIT Abdominal • 2 voltas
1;E;MUS_01E.json;BASE • Circuito Funcional • 5 voltas
2;A;MUS_02A.json;BASE • Peito, Ombro e Tríceps
2;B;MUS_02B.json;BASE • Membros Inferiores
2;C;MUS_02C.json;BASE • Costas e Bíceps
2;D;MUS_02D.json;BASE • HIIT Abdominal • 2 voltas
2;E;MUS_02E.json;BASE • Circuito Funcional • 6 voltas
3;A;MUS_03A.json;BASE • Peito, Ombro e Tríceps
3;B;MUS_03B.json;BASE • Membros Inferiores
3;C;MUS_03C.json;BASE • Costas e Bíceps
3;D;MUS_03D.json;BASE • HIIT Abdominal • 2 voltas
3;E;MUS_03E.json;BASE • Circuito Funcional • 7 voltas
4;A;MUS_04A.json;BASE • Peito, Ombro e Tríceps
4;B;MUS_04B.json;BASE • Membros Inferiores
4;C;MUS_04C.json;BASE • Costas e Bíceps
4;D;MUS_04D.json;BASE • HIIT Abdominal • 2 voltas
4;E;MUS_04E.json;BASE • Circuito Funcional • 5 voltas
5;A;MUS_05A.json;CONSOLIDAÇÃO • Peito, Ombro e Tríceps
5;B;MUS_05B.json;CONSOLIDAÇÃO • Membros Inferiores
5;C;MUS_05C.json;CONSOLIDAÇÃO • Costas e Bíceps
5;D;MUS_05D.json;CONSOLIDAÇÃO • HIIT Abdominal • 2 voltas
5;E;MUS_05E.json;CONSOLIDAÇÃO • Circuito Funcional • 6 voltas
6;A;MUS_06A.json;CONSOLIDAÇÃO • Peito, Ombro e Tríceps
6;B;MUS_06B.json;CONSOLIDAÇÃO • Membros Inferiores
6;C;MUS_06C.json;CONSOLIDAÇÃO • Costas e Bíceps
6;D;MUS_06D.json;CONSOLIDAÇÃO • HIIT Abdominal • 2 voltas
6;E;MUS_06E.json;CONSOLIDAÇÃO • Circuito Funcional • 7 voltas
7;A;MUS_07A.json;CONSOLIDAÇÃO • Peito, Ombro e Tríceps
7;B;MUS_07B.json;CONSOLIDAÇÃO • Membros Inferiores
7;C;MUS_07C.json;CONSOLIDAÇÃO • Costas e Bíceps
7;D;MUS_07D.json;CONSOLIDAÇÃO • HIIT Abdominal • 3 voltas
7;E;MUS_07E.json;CONSOLIDAÇÃO • Circuito Funcional • 8 voltas
8;A;MUS_08A.json;CONSOLIDAÇÃO • Peito, Ombro e Tríceps
8;B;MUS_08B.json;CONSOLIDAÇÃO • Membros Inferiores
8;C;MUS_08C.json;CONSOLIDAÇÃO • Costas e Bíceps
8;D;MUS_08D.json;CONSOLIDAÇÃO • HIIT Abdominal • 3 voltas
8;E;MUS_08E.json;CONSOLIDAÇÃO • Circuito Funcional • 6 voltas
9;A;MUS_09A.json;ALVO • Peito, Ombro e Tríceps
9;B;MUS_09B.json;ALVO • Membros Inferiores
9;C;MUS_09C.json;ALVO • Costas e Bíceps
9;D;MUS_09D.json;ALVO • HIIT Abdominal • 3 voltas
9;E;MUS_09E.json;ALVO • Circuito Funcional • 7 voltas
10;A;MUS_10A.json;ALVO • Peito, Ombro e Tríceps
10;B;MUS_10B.json;ALVO • Membros Inferiores
10;C;MUS_10C.json;ALVO • Costas e Bíceps
10;D;MUS_10D.json;ALVO • HIIT Abdominal • 3 voltas
10;E;MUS_10E.json;ALVO • Circuito Funcional • 7 voltas
11;A;MUS_11A.json;ALVO • Peito, Ombro e Tríceps
11;B;MUS_11B.json;ALVO • Membros Inferiores
11;C;MUS_11C.json;ALVO • Costas e Bíceps
11;D;MUS_11D.json;ALVO • HIIT Abdominal • 3 voltas
11;E;MUS_11E.json;ALVO • Circuito Funcional • 8 voltas
12;A;MUS_12A.json;ALVO • Peito, Ombro e Tríceps
12;B;MUS_12B.json;ALVO • Membros Inferiores
12;C;MUS_12C.json;ALVO • Costas e Bíceps
12;D;MUS_12D.json;ALVO • HIIT Abdominal • 3 voltas
12;E;MUS_12E.json;ALVO • Circuito Funcional • 5 voltas
